Job Category,Fintech Score
asset management,168913
portfolio asset management,168913
portfolio asset,168913
credit lending,168913
al cliente categorías,168913
atención al,168913
al cliente,168913
atención al cliente,168913
cliente categorías operaciones,168913
cliente categorías,168913
categorías operaciones,168913
categorías atención al,168913
categorías atención,168913
sales support,168207
care risk management,168207
care risk,168207
customer care risk,168207
ops analysis,167371
business ops analysis,166257
business ops,165143
relationship support,164029
human resources,163198
marketing communications,163198
customer service,162257
customer service center,162257
administrative clerical,162257
product management,159351
service center,159351
credit underwriting,155947
operations risk management,155947
operations risk,155947
consulting operations,155947
risk management,152665
banking teller,152665
branch banking teller,152665
project management,143955
management analysis,143955
project management analysis,143955
accounting finance,143955
audit fraud,143955
risk compliance qc,143955
risk compliance,143955
qc audit fraud,143955
qc audit,143955
compliance qc,143955
compliance qc audit,143955
relationship management,136622
commerce marketing,136622
digital commerce marketing,136622
customer care,128302
customer care operations,128302
care operations,128302
digital commerce,114117
digital commerce technology,114117
commerce technology,114117
investments insurance,114117
information technology,68784
branch banking,35264
